library.id,subset,cells,AB,A1,A2,A2%,A2% include A1+A2,B
BC-P20190123-N,CD4,623,476,432,54,13%,11%,443
BC-P20190123-T,CD4,1209,1022,912,161,18%,15%,924
BC-P20190403-N,CD4,206,183,173,29,17%,14%,180
BC-P20190403-T,CD4,893,873,842,137,16%,14%,860
ESCA-P20181114-T,CD4,898,860,746,111,15%,13%,818
ESCA-P20181123-N,CD4,1211,1002,903,167,18%,16%,922
ESCA-P20181123-T,CD4,1225,1088,998,163,16%,14%,1034
ESCA-P20190404-N,CD4,608,524,461,67,15%,13%,487
ESCA-P20190404-T,CD4,1592,1156,949,258,27%,21%,980
ESCA-P20190410-N,CD4,511,439,394,48,12%,11%,401
ESCA-P20190410-T,CD4,1620,1193,976,241,25%,20%,994
ESCA-P20190411-N,CD4,530,388,355,67,19%,16%,350
ESCA-P20190411-T,CD4,1392,1148,1031,262,25%,20%,1050
ESCA-P20190613-N,CD4,387,351,304,33,11%,10%,332
ESCA-P20190613-T,CD4,1360,1102,937,259,28%,22%,945
L-P20181123-T,CD4,419,410,376,50,13%,12%,400
L-P20190404-P,CD4,3028,2779,2550,619,24%,20%,2582
L-P20190404-T,CD4,665,613,565,125,22%,18%,576
MM-P20181219-T,CD4,774,698,665,136,20%,17%,679
MM-P20190122-P,CD4,453,379,354,76,21%,18%,360
MM-P20190122-T,CD4,669,429,382,85,22%,18%,379
MM-P20190322-P,CD4,1498,1479,1397,293,21%,17%,1441
MM-P20190322-T,CD4,113,103,98,15,15%,13%,103
PACA-P20181121-T,CD4,681,508,456,104,23%,19%,459
PACA-P20181128-T,CD4,1317,1149,1058,225,21%,18%,1066
PACA-P20190225-T,CD4,224,198,185,33,18%,15%,186
PACA-P20190306-T,CD4,1400,1175,1028,234,23%,19%,1044
RC-P20181217-N,CD4,605,511,473,75,16%,14%,479
RC-P20181217-T,CD4,715,585,540,92,17%,15%,538
RC-P20181224-N,CD4,1006,733,663,105,16%,14%,668
RC-P20181224-T,CD4,694,203,161,34,21%,17%,158
RC-P20190919-N,CD4,348,278,251,30,12%,11%,252
RC-P20190919-T,CD4,1244,927,802,226,28%,22%,796
RC-P20190923-N,CD4,1019,850,743,109,15%,13%,783
RC-P20190923-T,CD4,1962,1437,1191,204,17%,15%,1230
