library.id,subset,cells,AB,A1,A2,A2%,A2% include A1+A2,B
BC-P20190123-N,CD8,1892,738,517,128,25%,20%,513
BC-P20190123-T,CD8,1084,610,446,91,20%,17%,457
BC-P20190403-N,CD8,310,142,94,16,17%,15%,107
BC-P20190403-T,CD8,702,429,357,53,15%,13%,369
ESCA-P20181114-N,CD8,289,229,169,20,12%,11%,176
ESCA-P20181114-T,CD8,835,557,430,60,14%,12%,449
ESCA-P20181123-N,CD8,971,434,321,53,17%,14%,327
ESCA-P20181123-T,CD8,808,396,285,54,19%,16%,289
ESCA-P20190404-N,CD8,991,557,415,64,15%,13%,419
ESCA-P20190404-T,CD8,513,303,228,49,21%,18%,233
ESCA-P20190410-N,CD8,966,530,411,49,12%,11%,408
ESCA-P20190410-T,CD8,1356,426,261,75,29%,22%,267
ESCA-P20190411-N,CD8,758,388,312,78,25%,20%,304
ESCA-P20190411-T,CD8,967,386,295,88,30%,23%,276
ESCA-P20190613-N,CD8,1282,704,503,57,11%,10%,530
ESCA-P20190613-T,CD8,916,430,292,75,26%,20%,270
L-P20181123-T,CD8,900,697,571,89,16%,13%,605
L-P20190404-P,CD8,1142,785,665,182,27%,21%,693
L-P20190404-T,CD8,1236,846,687,167,24%,20%,689
MM-P20181219-T,CD8,1369,446,352,88,25%,20%,355
MM-P20190122-P,CD8,1022,477,384,76,20%,17%,400
MM-P20190122-T,CD8,3091,1453,1098,303,28%,22%,1075
MM-P20190322-P,CD8,812,568,502,80,16%,14%,513
MM-P20190322-T,CD8,1923,621,304,114,38%,27%,296
PACA-P20181121-T,CD8,1221,482,377,82,22%,18%,370
PACA-P20181128-T,CD8,2002,698,497,125,25%,20%,497
PACA-P20190225-N,CD8,401,152,93,21,23%,18%,107
PACA-P20190225-T,CD8,429,145,100,27,27%,21%,95
PACA-P20190306-T,CD8,1049,607,457,99,22%,18%,461
PACA-P20190515-T,CD8,381,105,72,16,22%,18%,72
RC-P20181217-N,CD8,1376,558,427,91,21%,18%,434
RC-P20181217-T,CD8,1102,474,360,95,26%,21%,351
RC-P20181224-N,CD8,745,423,339,60,18%,15%,348
RC-P20181224-T,CD8,504,206,160,40,25%,20%,157
RC-P20190919-N,CD8,258,182,154,28,18%,15%,151
RC-P20190919-T,CD8,644,309,238,67,28%,22%,230
RC-P20190923-N,CD8,2914,637,430,89,21%,17%,403
RC-P20190923-T,CD8,2659,730,473,109,23%,19%,474
RC-P20190925-N,CD8,1134,495,309,68,22%,18%,318
RC-P20190925-T,CD8,3903,1015,591,239,40%,29%,533
THCA-P20181226-N,CD8,5249,885,534,156,29%,23%,522
THCA-P20181226-T,CD8,1939,587,418,140,33%,25%,409
THCA-P20190108-N,CD8,1849,927,698,141,20%,17%,698
THCA-P20190108-T,CD8,2015,1088,822,212,26%,21%,863
THCA-P20190118-N,CD8,1779,860,665,170,26%,20%,652
THCA-P20190118-T,CD8,1881,617,468,124,26%,21%,462
THCA-P20190122-N,CD8,1890,1044,707,114,16%,14%,735
THCA-P20190122-T,CD8,1077,557,399,91,23%,19%,389
THCA-P20190125-N,CD8,4003,1558,1092,267,24%,20%,1070
THCA-P20190125-T,CD8,1533,992,766,170,22%,18%,800
THCA-P20190612-N,CD8,293,240,199,20,10%,9%,204
THCA-P20190612-T,CD8,597,378,273,53,19%,16%,272
THCA-P20190621-T,CD8,738,565,444,58,13%,12%,498
THCA-P20190703-T,CD8,1525,779,640,135,21%,17%,641
THCA-P20190730-N,CD8,1164,1028,443,83,19%,16%,762
THCA-P20190730-T,CD8,1445,1105,451,90,20%,17%,757
THCA-P20190816-N,CD8,1272,1163,1044,239,23%,19%,1078
THCA-P20190816-T,CD8,1327,923,788,147,19%,16%,799
UCEC-P20181122-N,CD8,2190,815,583,144,25%,20%,568
UCEC-P20181122-T,CD8,607,269,211,64,30%,23%,215
UCEC-P20181211-T,CD8,520,368,308,80,26%,21%,308
UCEC-P20190213-N,CD8,2244,584,412,120,29%,23%,391
UCEC-P20190213-T,CD8,1687,619,440,154,35%,26%,420
UCEC-P20190305-N,CD8,511,246,204,54,26%,21%,201
UCEC-P20190305-T,CD8,1653,635,469,156,33%,25%,450
UCEC-P20190312-N,CD8,1934,1012,776,134,17%,15%,785
UCEC-P20190312-T,CD8,1650,794,536,147,27%,22%,556
UCEC-P20190625-N,CD8,414,257,199,37,19%,16%,211
UCEC-P20190625-T,CD8,1109,498,373,109,29%,23%,357
UCEC-P20190717-N,CD8,504,307,232,37,16%,14%,244
UCEC-P20190717-T,CD8,152,122,103,17,17%,14%,109
UCEC-P20190910-N,CD8,493,253,197,29,15%,13%,208
UCEC-P20190910-T,CD8,1552,649,461,124,27%,21%,453
UCEC-P20190911-N,CD8,1109,486,317,45,14%,12%,357
UCEC-P20190911-T,CD8,373,190,133,29,22%,18%,145
