X,Y,Fit_x,Fit_y
7670,475,4170.0,587.7722845918762
11286,16,10448.190476190477,1472.6994690747144
29270,4738,16726.380952380954,2357.626653557553
19404,1517,23004.571428571428,3242.553838040391
33140,261,29282.761904761905,4127.4810225232295
13982,2671,35560.95238095238,5012.408207006068
4170,11,41839.142857142855,5897.335391488906
4172,7,48117.333333333336,6782.262575971744
5866,15,54395.52380952381,7667.189760454582
39204,4943,60673.71428571428,8552.116944937421
97490,26426,66951.90476190476,9437.04412942026
102348,7290,73230.09523809524,10321.971313903097
112970,8936,79508.28571428571,11206.898498385935
88100,13717,85786.47619047618,12091.825682868774
62724,12850,92064.66666666667,12976.752867351612
59322,5056,98342.85714285714,13861.68005183445
77256,18992,104621.04761904762,14746.607236317288
54190,8307,110899.23809523809,15631.534420800126
58826,4772,117177.42857142857,16516.461605282966
36680,15360,123455.61904761905,17401.388789765802
136012,16069,129733.80952380953,18286.315974248642
26090,217,136012.0,19171.24315873148
